symbol,timeframe,strategy_name,n_total,n_failed,n_overfit,n_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
ATOMUSDT,1h,bollinger_bounce,0,0,0,0,,,,
ATOMUSDT,1h,price_channel,0,0,0,0,,,,
ATOMUSDT,1h,volume_spike,0,0,0,0,,,,
ATOMUSDT,1h,golden_cross,0,0,0,0,,,,
ATOMUSDT,1h,rsi_divergence,0,0,0,0,,,,
ATOMUSDT,1h,bullish_engulfing,0,0,0,0,,,,
ATOMUSDT,1h,bearish_engulfing,0,0,0,0,,,,
ATOMUSDT,4h,ema_crossover,0,0,0,0,,,,
ATOMUSDT,4h,macd_crossover,0,0,0,0,,,,
ATOMUSDT,4h,rsi_ob_os,0,0,0,0,,,,
ATOMUSDT,4h,stochastic,0,0,0,0,,,,
ATOMUSDT,4h,atr_breakout,0,0,0,0,,,,
ATOMUSDT,4h,bollinger_bounce,0,0,0,0,,,,
ATOMUSDT,4h,price_channel,0,0,0,0,,,,
ATOMUSDT,4h,volume_spike,0,0,0,0,,,,
ATOMUSDT,4h,bullish_engulfing,0,0,0,0,,,,
ATOMUSDT,4h,golden_cross,0,0,0,0,,,,
ATOMUSDT,4h,rsi_divergence,0,0,0,0,,,,
ATOMUSDT,1d,macd_crossover,0,0,0,0,,,,
ATOMUSDT,1d,rsi_ob_os,0,0,0,0,,,,
ATOMUSDT,4h,bearish_engulfing,1,1,0,0,1.21,0.48,22.8,13
ATOMUSDT,1d,stochastic,0,0,0,0,,,,
ATOMUSDT,1d,ema_crossover,0,0,0,0,,,,
ATOMUSDT,1d,atr_breakout,0,0,0,0,,,,
ATOMUSDT,1d,price_channel,0,0,0,0,,,,
ATOMUSDT,1d,volume_spike,0,0,0,0,,,,
ATOMUSDT,1d,golden_cross,0,0,0,0,,,,
ATOMUSDT,1d,rsi_divergence,0,0,0,0,,,,
ATOMUSDT,1d,bullish_engulfing,0,0,0,0,,,,
ATOMUSDT,1d,bollinger_bounce,0,0,0,0,,,,
ATOMUSDT,1d,bearish_engulfing,0,0,0,0,,,,
AVAXUSDT,5m,rsi_ob_os,0,0,0,0,,,,
AVAXUSDT,5m,stochastic,0,0,0,0,,,,
AVAXUSDT,5m,ema_crossover,0,0,0,0,,,,
AVAXUSDT,5m,macd_crossover,0,0,0,0,,,,
AVAXUSDT,5m,bollinger_bounce,0,0,0,0,,,,
AVAXUSDT,5m,price_channel,0,0,0,0,,,,
AVAXUSDT,5m,atr_breakout,0,0,0,0,,,,
AVAXUSDT,5m,volume_spike,0,0,0,0,,,,
AVAXUSDT,5m,golden_cross,0,0,0,0,,,,
AVAXUSDT,5m,bullish_engulfing,0,0,0,0,,,,
AVAXUSDT,5m,rsi_divergence,0,0,0,0,,,,
AVAXUSDT,5m,bearish_engulfing,0,0,0,0,,,,
AVAXUSDT,15m,ema_crossover,0,0,0,0,,,,
AVAXUSDT,15m,rsi_ob_os,0,0,0,0,,,,
AVAXUSDT,15m,stochastic,0,0,0,0,,,,
